id,name,position,description,inventory,manager
16,نخ,M,"نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ
 نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ نخ",399,1
15,کیسه,M,کیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسهکیسه کیسه کیسهکیسه,333,1
14,مواد PC,M,"مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC 

مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC مواد PC",300,1
13,منگنه,M,منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v منگنه منگنه منگنه v,200,1
12,نایلون,M,نایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلوننایلون نایلون نایلون نایلون,200,1
11,تزریق مغزی خیرآباد,S,"تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآبادتزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغ
زی خیرآباد تزریق مغزی خیرآبادتزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد تزریق مغزی خیرآباد",200,1
10,کلاف ۵۰۰ متری,M,کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری,2000,1
9,ترمینال MR16,M,"ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 
ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 

ترمینال MR16 ترمینال MR16",300,1
8,برش سیم و پرچ,S,"برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ 

برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ",200,1
7,بسته بندی پلاتین زنی,S,"بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی 

بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی",300,1
